Easting,Northing,Lat,Long,Severity_of_casualty,Casualty_Class,Sex,Age,Date,Day,Hour,Local_authority,Vehicle_type,Pedestrian_Locality
542290,171760,51.42699019,0.045316268,Serious,Pedestrian,Male,15,27/06/2014,Friday,11,Bromley,Car,"In_carriageway,_crossing_elsewhere"
535300,170400,51.41647845,-0.055681982,Serious,Pedestrian,Female,76,13/08/2014,Wednesday,10,Bromley,Car,Crossing_on_pedestrian_crossing_facility
547630,168400,51.39543435,0.120673326,Serious,Pedestrian,Male,20,15/08/2014,Friday,17,Bromley,Car,"In_carriageway,_crossing_elsewhere"
544940,169580,51.40673076,0.082515136,Serious,Driver_or_rider,Male,unknown,07/09/2014,Sunday,2,Bromley,Car,Not_a_pedestrian
536320,169590,51.40895522,-0.041334021,Serious,Driver_or_rider,Male,36,04/08/2014,Monday,7,Bromley,Pedal_cycle,Not_a_pedestrian
540120,171400,51.42429529,0.013982072,Serious,Pedestrian,Male,2,27/09/2014,Saturday,15,Bromley,Car,"In_carriageway,_crossing_elsewhere"
533930,170630,51.41887054,-0.075284538,Serious,Driver_or_rider,Male,18,26/09/2014,Friday,19,Bromley,Motorcycle_50cc_and_under,Not_a_pedestrian
546910,164130,51.35725413,0.108567902,Serious,Pedestrian,Female,9,18/09/2014,Thursday,8,Bromley,Car,"In_carriageway,_crossing_elsewhere"
541200,169460,51.40659469,0.028732603,Serious,Pedestrian,Female,61,25/09/2014,Thursday,17,Bromley,Car,"In_carriageway,_crossing_elsewhere"
542440,165130,51.36737714,0.044814903,Serious,Driver_or_rider,Male,48,06/10/2014,Monday,9,Bromley,Goods_over_3.5t._and_under_7.5t._(from_1999),Not_a_pedestrian
533990,170550,51.41813744,-0.07445239,Serious,Pedestrian,Male,unknown,26/09/2014,Friday,17,Bromley,Car,"In_carriageway,_crossing_elsewhere"
542210,172820,51.43653561,0.044591743,Serious,Driver_or_rider,Male,17,23/10/2014,Thursday,20,Bromley,Motorcycle_50cc_and_under,Not_a_pedestrian
